"","state","fips2","tvote","vep","vepnov","turnoutvep","sc_fips"
"2324","45",45085,44086,76925.1015625,76864.4609375,0.573555052280426,"45085"
"2325","45",45087,12092,21365.12109375,21345.65625,0.566485285758972,"45087"
"2326","45",45089,15054,22878.11328125,22745.4921875,0.661845445632935,"45089"
"2327","45",45091,114357,189120.109375,191509.6875,0.597134292125702,"45091"
"2328","46",46003,1407,1945.41162109375,1948.10070800781,0.722241938114166,"46003"
"2329","46",46005,6772,11724.9013671875,11667.244140625,0.580428421497345,"46005"
"2330","46",46007,1149,2287.67333984375,2295.23388671875,0.500602602958679,"46007"
"2331","46",46009,2974,4426.23486328125,4432.42724609375,0.670964181423187,"46009"
"2332","46",46011,12680,25411.9296875,25420.93359375,0.498801499605179,"46011"
"2333","46",46013,16114,24981.34765625,24427.078125,0.659677743911743,"46013"
"2334","46",46015,2288,3822.88745117188,3804.77783203125,0.601349174976349,"46015"
"2335","46",46017,490,1244.6142578125,1235.03698730469,0.396749258041382,"46017"
"2336","46",46019,4351,7667.93896484375,7665.85498046875,0.567581832408905,"46019"
"2337","46",46021,831,1134.89599609375,1128.14660644531,0.736606419086456,"46021"
"2338","46",46023,3433,6521.4267578125,6524.6787109375,0.526156187057495,"46023"
"2339","46",46025,1657,2666.18212890625,2659.1650390625,0.623127937316895,"46025"
"2340","46",46027,5069,11244.7998046875,11288.50390625,0.44904088973999,"46027"
"2341","46",46029,11669,20919.185546875,20964.615234375,0.556604564189911,"46029"
"2342","46",46031,1175,2647.0126953125,2624.16796875,0.447760969400406,"46031"
"2343","46",46033,4721,7174.64599609375,7240.7841796875,0.652001202106476,"46033"
"2344","46",46035,7952,14858.45703125,14874.0830078125,0.534621179103851,"46035"
"2345","46",46037,2747,4272.88427734375,4260.3046875,0.644789576530457,"46037"
"2346","46",46039,2080,3190.1435546875,3167.44873046875,0.656679928302765,"46039"
"2347","46",46041,1708,3618.89916992188,3607.49584960938,0.473458617925644,"46041"
"2348","46",46043,1605,2243.53295898438,2234.97338867188,0.718129336833954,"46043"
"2349","46",46045,1918,2995.96484375,2982.46801757812,0.643091559410095,"46045"
"2350","46",46047,3563,5565.201171875,5573.37255859375,0.639289736747742,"46047"
"2351","46",46049,1118,1785.98620605469,1787.42138671875,0.625482082366943,"46049"
"2352","46",46051,3564,5370.70458984375,5374.228515625,0.663164973258972,"46051"
"2353","46",46053,2091,3169.28344726562,3162.43115234375,0.661200165748596,"46053"
"2354","46",46055,1044,1453.33117675781,1460.14721679688,0.71499639749527,"46055"
"2355","46",46057,2762,4048.33764648438,4045.49609375,0.682734549045563,"46057"
"2356","46",46059,1818,2610.04223632812,2610.39428710938,0.696446537971497,"46059"
"2357","46",46061,2006,2284.447265625,2291.27783203125,0.875494003295898,"46061"
"2358","46",46063,770,947.974670410156,946.902954101562,0.813177287578583,"46063"
"2359","46",46065,8175,12550.82421875,12591.3212890625,0.649256706237793,"46065"
"2360","46",46067,3365,5487.29736328125,5487.86572265625,0.613170981407166,"46067"
"2361","46",46069,690,1069.0234375,1063.34191894531,0.648897588253021,"46069"
"2362","46",46071,1095,2177.73681640625,2183.17041015625,0.501564145088196,"46071"
"2363","46",46073,967,1479.89990234375,1476.78796386719,0.654799461364746,"46073"
"2364","46",46075,558,733.790649414062,733.807678222656,0.760417222976685,"46075"
"2365","46",46077,2551,3854.94311523438,3864.6328125,0.66008859872818,"46077"
